, Extraverted,,,Agreeableness,,,, Conscientiousness,,,, Openness to experience,,
,Socail,assertive , energetic,Kind ,Warm ,polite,accomodating,organised,strong willed,Purposeful,determined,Creative,Imaginative,Insightful
Advertisment 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 108,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 116,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 122,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Advertisment 123,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 125,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 126,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Advertisment 127,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 128,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advertisment 129,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Advertisment 130,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Advertisment 131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 135,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Advertisment 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 138,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 139,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advertisment 140,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 142,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Advertisment 143,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advertisment 144,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 145,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Advertisment 146,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 148,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 150,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 151,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 152,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Advertisment 153,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Advertisment 154,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 155,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Advertisment 156,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Advertisment 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 158,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 159,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,7,3,1,7,5,16,2,1,1,7,22,5,7
,10,4.375,1.875,0.625,4.375,3.125,10,1.25,0.625,0.625,4.375,13.75,3.125,4.375
